caso,texto,tipo_problema_esperado,tipo_problema_inferido,tipo_problema_acerto,tipo_problema_evidencia,compensatoriedade_esperado,compensatoriedade_inferido,compensatoriedade_acerto,compensatoriedade_evidencia,tipo_variavel_esperado,tipo_variavel_inferido,tipo_variavel_acerto,tipo_variavel_evidencia,monotonicidade_esperado,monotonicidade_inferido,monotonicidade_acerto,monotonicidade_evidencia,estrutura_decisoria_esperado,estrutura_decisoria_inferido,estrutura_decisoria_acerto,estrutura_decisoria_evidencia,completude_pref_esperado,completude_pref_inferido,completude_pref_acerto,completude_pref_evidencia,ambiente_decisao_esperado,ambiente_decisao_inferido,ambiente_decisao_acerto,ambiente_decisao_evidencia,ponderabilidade_esperado,ponderabilidade_inferido,ponderabilidade_acerto,ponderabilidade_evidencia,usa_pesos_esperado,usa_pesos_inferido,usa_pesos_acerto,usa_pesos_evidencia,requer_pesos_esperado,requer_pesos_inferido,requer_pesos_acerto,requer_pesos_evidencia,acertos_10_premissas,acuracia_caso
1,"O problema decisório busca selecionar a melhor alternativa para contratação. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo permite compensação entre critérios, de modo que bom desempenho em um critério pode compensar desempenho inferior em outro. Além disso, os critérios seguem comportamento monotônico, com critérios de benefício em que quanto maior melhor e critérios de custo em que quanto menor melhor. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1),Compensatorio,Compensatorio,1,compensar(1) | compensacao(1) | permite compensacao(1) | compensacao entre criterios(1) | regra_regex_compensatorio,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,Monotonico,Monotonico,1,monotonico(1) | regra_semantica_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,10,100.0
2,"O problema decisório busca selecionar a melhor alternativa para contratação. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo permite compensação entre critérios, de modo que bom desempenho em um critério pode compensar desempenho inferior em outro. Além disso, alguns critérios possuem comportamento não monotônico, pois existe faixa ideal, zona ótima e ponto ótimo de desempenho. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1),Compensatorio,Compensatorio,1,compensar(1) | compensacao(1) | permite compensacao(1) | compensacao entre criterios(1) | regra_regex_compensatorio,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,10,100.0
3,"O problema decisório busca selecionar a melhor alternativa para contratação. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo admite compensação parcial entre critérios, mas com limiar de veto para desempenho crítico. Além disso, os critérios seguem comportamento monotônico, com critérios de benefício em que quanto maior melhor e critérios de custo em que quanto menor melhor. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1),ParcialmenteCompensatorio,ParcialmenteCompensatorio,1,compensacao parcial(1) | compensacao parcial entre criterios(1) | admite compensacao parcial(1) | regra_regex_compensacao_com_veto,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,Monotonico,NaoMonotonico,0,regra_semantica_nao_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,9,90.0
4,"O problema decisório busca selecionar a melhor alternativa para contratação. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo admite compensação parcial entre critérios, mas com limiar de veto para desempenho crítico. Além disso, alguns critérios possuem comportamento não monotônico, pois existe faixa ideal, zona ótima e ponto ótimo de desempenho. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1),ParcialmenteCompensatorio,ParcialmenteCompensatorio,1,compensacao parcial(1) | compensacao parcial entre criterios(1) | admite compensacao parcial(1) | regra_regex_compensacao_com_veto,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | veto(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,10,100.0
5,"O problema decisório busca selecionar a melhor alternativa para contratação. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo não admite compensação entre critérios e utiliza critério de veto como requisito mínimo obrigatório. Além disso, os critérios seguem comportamento monotônico, com critérios de benefício em que quanto maior melhor e critérios de custo em que quanto menor melhor. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1),NaoCompensatorio,NaoCompensatorio,1,veto(1) | nao admite compensacao(1) | criterio de veto(1) | requisito minimo obrigatorio(1) | regra_regex_nao_compensatorio,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,Monotonico,Monotonico,1,regra_semantica_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,10,100.0
6,"O problema decisório busca selecionar a melhor alternativa para contratação. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo não admite compensação entre critérios e utiliza critério de veto como requisito mínimo obrigatório. Além disso, alguns critérios possuem comportamento não monotônico, pois existe faixa ideal, zona ótima e ponto ótimo de desempenho. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Escolha,Escolha,1,selecionar(1) | melhor alternativa(1) | contratacao(1) | selecionar a melhor alternativa(1),NaoCompensatorio,NaoCompensatorio,1,veto(1) | nao admite compensacao(1) | criterio de veto(1) | requisito minimo obrigatorio(1) | regra_regex_nao_compensatorio,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | veto(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,10,100.0
7,"O problema decisório busca classificar as alternativas em categorias previamente definidas. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo permite compensação entre critérios, de modo que bom desempenho em um critério pode compensar desempenho inferior em outro. Além disso, os critérios seguem comportamento monotônico, com critérios de benefício em que quanto maior melhor e critérios de custo em que quanto menor melhor. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Classificacao,Classificacao,1,classificar(1) | categorias(1) | categorias previamente definidas(1) | regra_precedencia_classificacao,Compensatorio,Compensatorio,1,compensar(1) | compensacao(1) | permite compensacao(1) | compensacao entre criterios(1) | regra_regex_compensatorio,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,Monotonico,Monotonico,1,monotonico(1) | regra_semantica_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,10,100.0
8,"O problema decisório busca classificar as alternativas em categorias previamente definidas. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo permite compensação entre critérios, de modo que bom desempenho em um critério pode compensar desempenho inferior em outro. Além disso, alguns critérios possuem comportamento não monotônico, pois existe faixa ideal, zona ótima e ponto ótimo de desempenho. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Classificacao,Classificacao,1,classificar(1) | categorias(1) | categorias previamente definidas(1) | regra_precedencia_classificacao,Compensatorio,Compensatorio,1,compensar(1) | compensacao(1) | permite compensacao(1) | compensacao entre criterios(1) | regra_regex_compensatorio,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,10,100.0
9,"O problema decisório busca classificar as alternativas em categorias previamente definidas. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo admite compensação parcial entre critérios, mas com limiar de veto para desempenho crítico. Além disso, os critérios seguem comportamento monotônico, com critérios de benefício em que quanto maior melhor e critérios de custo em que quanto menor melhor. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Classificacao,Classificacao,1,classificar(1) | categorias(1) | categorias previamente definidas(1) | regra_precedencia_classificacao,ParcialmenteCompensatorio,ParcialmenteCompensatorio,1,compensacao parcial(1) | compensacao parcial entre criterios(1) | admite compensacao parcial(1) | regra_regex_compensacao_com_veto,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,Monotonico,NaoMonotonico,0,regra_semantica_nao_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,9,90.0
10,"O problema decisório busca classificar as alternativas em categorias previamente definidas. A avaliação considera critérios quantitativos e qualitativos, com participação de um grupo de decisores. As preferências são completas, todas as alternativas podem ser comparadas, e o ambiente de decisão envolve incerteza. O modelo admite compensação parcial entre critérios, mas com limiar de veto para desempenho crítico. Além disso, alguns critérios possuem comportamento não monotônico, pois existe faixa ideal, zona ótima e ponto ótimo de desempenho. Os critérios são ponderáveis, os pesos dos critérios são usados e requeridos como entrada do processo.",Classificacao,Classificacao,1,classificar(1) | categorias(1) | categorias previamente definidas(1) | regra_precedencia_classificacao,ParcialmenteCompensatorio,ParcialmenteCompensatorio,1,compensacao parcial(1) | compensacao parcial entre criterios(1) | admite compensacao parcial(1) | regra_regex_compensacao_com_veto,Mista,Mista,1,quantitativos e qualitativos(1) | criterios quantitativos e qualitativos(1) | regra_precedencia_variavel_mista,NaoMonotonico,NaoMonotonico,1,nao monotonico(1) | veto(1) | faixa ideal(1) | ponto otimo(1) | regra_semantica_nao_monotonico,Grupo,Grupo,1,grupo(1) | grupo de decisores(1),Completo,Completo,1,todas as alternativas(1) | regra_semantica_completo,Incerteza,Incerteza,1,incerteza(1) | regra_precedencia_incerteza,Ponderavel,Ponderavel,1,pesos dos criterios(1) | regra_semantica_ponderavel,Sim,Sim,1,regra_semantica_pesos,Sim,Sim,1,regra_semantica_pesos,10,100.0
